Date,AAPL,BA,BAC,CAT,CVX,GOOGL,GS,HD,HON,JNJ,JPM,MCD,META,MSFT,NKE,NVDA,PFE,QQQ,SPY,XOM
2019-01-02,37.46920394897461,314.6451110839844,20.945083618164062,108.02360534667969,79.8726806640625,52.30173110961914,145.39169311523438,144.2037811279297,106.34395599365234,103.79098510742188,80.83650970458984,,134.62353515625,94.1931381225586,67.15416717529297,3.376983404159546,28.81865882873535,148.04083251953125,224.38253784179688,49.664737701416016
2019-01-03,33.737003326416016,302.10052490234375,20.60942268371582,103.86095428466797,78.3428955078125,50.85320281982422,143.2619171142578,141.02545166015625,104.92423248291016,102.14168548583984,79.68768310546875,,130.71420288085938,90.72795104980469,65.96633911132812,3.1729562282562256,28.012405395507812,143.20428466796875,219.02813720703125,48.90221405029297
2019-01-04,35.17719650268555,317.8225402832031,21.465349197387695,109.53651428222656,79.96647644042969,53.46164321899414,147.94400024414062,145.21580505371094,108.5946044921875,103.85597229003906,82.62541198730469,,136.87588500976562,94.94766235351562,67.68915557861328,3.376239538192749,28.652074813842773,149.3312225341797,226.3646697998047,50.70521545410156
2019-01-07,35.09891128540039,318.8234558105469,21.448572158813477,109.60491180419922,81.00556182861328,53.355018615722656,148.76380920410156,148.07626342773438,109.1996078491211,103.18975830078125,82.68282318115234,,136.97506713867188,95.06875610351562,68.65939331054688,3.554980754852295,28.805328369140625,151.10910034179688,228.14942932128906,50.96888732910156
2019-01-08,35.76800537109375,330.89190673828125,21.406614303588867,110.92121124267578,80.6519775390625,53.82365036010742,148.2144775390625,148.78721618652344,108.97373962402344,105.58654022216797,82.52692413330078,,141.4202117919922,95.75806427001953,69.57521057128906,3.466477870941162,28.9385929107666,152.4759979248047,230.29296875,51.3394775390625
2019-01-09,36.37539291381836,334.0984802246094,21.61639976501465,111.34859466552734,81.73438262939453,53.6391716003418,149.14414978027344,150.32618713378906,109.48196411132812,104.74967193603516,82.38741302490234,,143.10694885253906,97.12736511230469,69.44825744628906,3.5346527099609375,28.878625869750977,153.71861267089844,231.36927795410156,51.61028289794922
2019-01-10,36.49165725708008,342.6300048828125,21.59122657775879,113.64788055419922,81.86427307128906,53.499332427978516,148.74691772460938,149.7658233642578,111.11949157714844,105.3834228515625,82.37921142578125,,143.07717895507812,96.50325012207031,69.2940902709961,3.6003472805023193,28.19230842590332,154.15823364257812,232.18540954589844,51.34659957885742
2019-01-11,36.133384704589844,342.9117736816406,21.842971801757812,112.91278076171875,81.20761108398438,52.78721618652344,149.5329132080078,150.0585479736328,110.8049087524414,105.41588592529297,81.98532104492188,,142.6802978515625,95.75806427001953,68.94953918457031,3.6895930767059326,28.572113037109375,153.59425354003906,232.27508544921875,51.11141586303711
2019-01-14,35.590049743652344,340.4436950683594,22.128278732299805,112.65635681152344,80.61590576171875,52.14452362060547,151.04574584960938,149.55673217773438,111.00656127929688,104.2215805053711,82.8305435180664,,144.25794982910156,95.05943298339844,68.9948959350586,3.729506731033325,28.232295989990234,152.23699951171875,230.85801696777344,51.04729461669922
2019-01-15,36.318458557128906,342.2704772949219,22.27931785583496,111.70757293701172,80.90455627441406,53.880184173583984,152.05149841308594,147.5995330810547,111.1356430053711,105.09904479980469,83.43779754638672,,147.7902069091797,97.81668090820312,70.61798858642578,3.715376853942871,28.47216796875,155.20968627929688,233.5038604736328,51.0758056640625
2019-01-16,36.76215744018555,342.0955810546875,23.873703002929688,112.53668975830078,80.385009765625,54.02894592285156,166.56275939941406,148.07626342773438,111.33731842041016,104.0265884399414,84.11066436767578,,146.39122009277344,98.16132354736328,70.4366455078125,3.6898415088653564,28.05904197692871,155.1809844970703,234.0688934326172,51.054420471191406
2019-01-17,36.98044204711914,348.9266357421875,24.326841354370117,114.99836730957031,80.7890853881836,54.50551223754883,168.26150512695312,146.2613067626953,112.83773803710938,104.87966918945312,84.4552993774414,,147.14527893066406,98.85063171386719,71.75142669677734,3.7612383365631104,28.29891586303711,156.40451049804688,235.8447723388672,51.40361785888672
2019-01-18,37.208213806152344,354.4069519042969,24.586973190307617,117.51030731201172,82.52813720703125,54.911163330078125,171.17727661132812,150.20079040527344,114.4268798828125,106.17959594726562,85.82569885253906,,148.8717041015625,100.33171844482422,72.94831848144531,3.8903987407684326,28.33890151977539,157.9529266357422,238.98382568359375,52.0164909362793
2019-01-22,36.37302017211914,347.7702331542969,24.41075325012207,113.75961303710938,81.06330108642578,53.489410400390625,167.0698699951172,148.13485717773438,112.78932189941406,104.64408111572266,84.47173309326172,,146.4209747314453,98.4407730102539,73.2203598022461,3.6881067752838135,28.165658950805664,154.78907775878906,235.7549591064453,51.23257827758789
2019-01-23,36.520137786865234,348.460205078125,24.268095016479492,113.39832305908203,80.37779998779297,53.77604293823242,166.41062927246094,147.9508056640625,113.53146362304688,104.64408111572266,84.25836944580078,,143.1764373779297,99.40019226074219,72.99365997314453,3.7009973526000977,28.092355728149414,154.9897918701172,236.24832153320312,50.8121223449707
2019-01-24,36.23067855834961,348.12982177734375,24.40236473083496,114.18114471435547,81.90756225585938,53.755706787109375,167.17127990722656,148.28541564941406,113.88638305664062,103.20601654052734,84.3076400756836,,144.6945037841797,98.92512512207031,72.93927001953125,3.9129576683044434,27.28609848022461,155.99349975585938,236.37388610839844,50.88337707519531
2019-01-25,37.431236267089844,353.8919982910156,24.821937561035156,117.73397827148438,81.69830322265625,54.6240348815918,169.656005859375,150.8865509033203,114.31391906738281,104.18096160888672,84.84098815917969,,147.84974670410156,99.82870483398438,73.0934066772461,3.9702236652374268,27.079538345336914,157.8573455810547,238.37393188476562,51.11141586303711
2019-01-28,37.0848274230957,352.69677734375,24.863893508911133,106.98944091796875,80.94061279296875,53.5504035949707,168.79396057128906,150.40989685058594,113.32173156738281,104.7984390258789,85.24308013916016,,146.32174682617188,97.88186645507812,72.83045959472656,3.421358823776245,26.339921951293945,155.90745544433594,236.56224060058594,50.76935577392578
2019-01-29,36.70046615600586,354.5818786621094,24.662494659423828,108.84757995605469,80.6952896118164,53.064414978027344,169.4531707763672,150.29278564453125,114.33814239501953,105.8871078491211,85.4810562133789,,143.0673065185547,95.88847351074219,72.73979187011719,3.262450933456421,27.166162490844727,154.43544006347656,236.24832153320312,50.96177673339844
2019-01-30,39.208370208740234,376.7463073730469,24.39396858215332,111.9272689819336,81.5467758178711,54.44947814941406,171.12655639648438,152.37539672851562,115.58043670654297,106.95140838623047,85.6780014038086,,149.248779296875,99.09283447265625,73.700927734375,3.405988931655884,27.705888748168945,158.36390686035156,239.98834228515625,51.51763916015625
2019-01-31,39.4907112121582,374.70574951171875,23.890485763549805,114.5510482788086,82.73014831542969,55.83303451538086,167.34872436523438,153.5045623779297,115.86275482177734,108.12138366699219,84.93125915527344,,165.39208984375,97.27640533447266,74.2449951171875,3.56365704536438,28.532634735107422,160.73440551757812,242.09603881835938,52.223148345947266
2019-02-01,39.50970458984375,376.4645080566406,23.814960479736328,112.61548614501953,85.41447448730469,55.47251892089844,166.10635375976562,154.2071075439453,116.73395538330078,109.03133392333984,85.24308013916016,,164.41973876953125,95.73943328857422,73.90946960449219,3.5879523754119873,28.8216495513916,160.05580139160156,242.212646484375,54.10456466674805
2019-02-04,40.63197326660156,385.763671875,24.23453712463379,112.58966064453125,86.40306091308594,56.60316467285156,167.10366821289062,155.93011474609375,119.33146667480469,107.95885467529297,85.54669952392578,,167.93214416503906,98.49665832519531,74.3447265625,3.698270559310913,28.52591323852539,162.04396057128906,243.9166259765625,53.32065963745117
2019-02-05,41.327171325683594,398.5705871582031,24.150617599487305,113.55313110351562,86.2154312133789,57.12139129638672,167.34872436523438,155.89666748046875,119.94454956054688,107.95885467529297,85.16921997070312,,169.8272705078125,99.87528228759766,75.13362884521484,3.7173588275909424,28.304092407226562,163.47769165039062,244.93910217285156,53.86937713623047
2019-02-06,41.341400146484375,399.4742431640625,24.108657836914062,112.29718017578125,85.7824935913086,55.684268951416016,166.17401123046875,154.4998321533203,120.11394500732422,108.05635070800781,85.12821960449219,,169.16250610351562,98.76679229736328,74.99759674072266,3.792970657348633,28.45197868347168,162.990234375,244.61619567871094,53.63420867919922
2019-02-07,40.55842208862305,395.6802673339844,23.69747543334961,110.78314208984375,85.31346130371094,54.84223556518555,163.1737060546875,153.9561309814453,119.50894927978516,107.28453826904297,84.01220703125,,165.08450317382812,98.05885314941406,74.70743560791016,3.6546385288238525,28.028520584106445,160.8013458251953,242.2843780517578,53.22087860107422
2019-02-08,40.606075286865234,395.4263610839844,23.739439010620117,110.62831115722656,84.84442901611328,54.66717529296875,161.99044799804688,154.34927368164062,119.87998962402344,107.56889343261719,83.17518615722656,,166.027099609375,98.43144226074219,74.68022918701172,3.673232316970825,28.384754180908203,161.1167755126953,242.58030700683594,53.307350158691406
2019-02-11,40.372554779052734,394.4888610839844,23.84013557434082,110.91217803955078,84.38982391357422,54.654273986816406,161.7031707763672,152.9943389892578,119.77511596679688,107.24391174316406,82.78131103515625,,164.49908447265625,98.04021453857422,75.87715148925781,3.630591630935669,28.01507568359375,160.9638214111328,242.71478271484375,53.3938102722168
